Trajectories
100
		platform:points1			platform:points2			platform:points3			platform:points4			platform:points5			platform:points6			platform:points7			platform:points8			platform:points9			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
63	0	80.3442	-39.6356	806.346	-337.533	-64.1847	805.808	-337.595	65.3983	824.162	77.4	90.9371	786.066	73.0216	68.1338	694.413	-341.653	85.304	735.881	-341.397	-43.6273	714.616	76.5187	-61.6161	716.406	-142.992	10.9512	564.099
64	0	80.3524	-39.5886	806.343	-337.525	-64.2093	805.813	-337.598	65.383	824.158	77.3931	90.9634	786.065	73.0057	68.0277	694.339	-341.659	85.2775	735.881	-341.394	-43.6611	714.622	76.5341	-61.593	716.407	-142.986	10.9383	564.101
65	0	80.3513	-39.5764	806.347	-337.514	-64.2326	805.817	-337.601	65.3563	824.155	77.3896	90.9919	786.059	73.0079	68.1808	694.406	-341.677	85.2403	735.875	-341.381	-43.6955	714.624	76.5419	-61.564	716.407	-142.991	10.9212	564.101
66	0	80.3568	-39.5453	806.35	-337.505	-64.2402	805.822	-337.616	65.3227	824.152	77.3784	91.0264	786.054	72.9998	68.2021	694.402	-341.68	85.2145	735.87	-341.383	-43.7019	714.627	76.5443	-61.5321	716.411	-142.993	10.9211	564.099
67	0	80.3661	-39.5138	806.35	-337.492	-64.2693	805.826	-337.609	65.3109	824.158	77.3782	91.0596	786.049	73.0004	68.2131	694.397	-341.691	85.1911	735.868	-341.369	-43.7284	714.626	76.7472	-61.0291	716.383	-142.991	10.9058	564.095
68	0	80.3801	-39.4822	806.348	-337.481	-64.2869	805.83	-337.617	65.2892	824.155	77.3701	91.0902	786.038	72.978	68.1	694.312	-341.695	85.1745	735.87	-341.357	-43.7652	714.631	76.7507	-61.0036	716.378	-142.988	10.9093	564.099
69	0	80.3816	-39.44	806.348	-337.477	-64.3112	805.831	-337.626	65.2802	824.154	77.3615	91.105	786.028	72.981	68.1255	694.312	-341.701	85.1484	735.867	-341.348	-43.7684	714.635	76.7667	-60.959	716.382	-142.99	10.9065	564.098
70	0	80.3904	-39.4305	806.348	-337.461	-64.3326	805.832	-337.626	65.2513	824.151	77.3505	91.1359	786.035	72.9801	68.292	694.38	-341.709	85.1317	735.872	-341.346	-43.8153	714.636	76.7714	-60.9478	716.38	-142.992	10.8782	564.096
71	0	80.3895	-39.428	806.356	-337.454	-64.3787	805.846	-337.632	65.2303	824.149	77.339	91.1521	786.024	72.9721	68.2861	694.383	-341.722	85.1136	735.865	-341.336	-43.8428	714.644	76.783	-60.9417	716.387	-142.991	10.8693	564.096
72	0	80.3957	-39.398	806.352	-337.245	-64.6604	806.01	-337.693	65.2746	824.092	77.3339	91.1698	786.024	72.9627	68.2932	694.376	-341.731	85.0911	735.864	-341.335	-43.8537	714.642	76.7955	-60.892	716.383	-142.997	10.8738	564.1
73	0	80.3994	-39.3702	806.35	-337.231	-64.656	806	-337.7	65.2645	824.091	77.3257	91.1848	786.022	72.9569	68.1791	694.302	-341.73	85.0773	735.868	-341.338	-43.8786	714.647	76.8049	-60.8608	716.388	-143	10.878	564.098
